job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Lead Security Engineer,Afriquia,Rabat,15300 MAD/month,Contract,5+ years,Bachelor's Degree,"Security Audit, Penetration Testing, Encryption, Network Security",We are looking for a talented Lead Security Engineer to join our growing team.,2025-12-30,Generated
Mechanical Engineer,Shell Morocco,Marrakech,12400 MAD/month,Internship,2-5 years,Master's Degree,"ANSYS, AutoCAD, Thermodynamics, Project Management",Great opportunity for career growth as a Mechanical Engineer.,2025-11-23,Generated
Junior Account Manager,Bimo Morocco,Tangier,8900 MAD/month,Full-time,0-2 years,Master's Degree,"Client Relations, Negotiation, Account Management, Upselling, Strategic Planning",Great opportunity for career growth as a Junior Account Manager.,2025-11-26,Generated
Systems Engineer,CIH Bank,Tetouan,6600 MAD/month,Internship,2-4 years,Bachelor's Degree,"VMware, Docker, Troubleshooting, Networking, Monitoring, Windows Server",Great opportunity for career growth as a Systems Engineer.,2025-12-15,Generated
Product Manager,Eaton Aerospace,Khouribga,28400 MAD/month,Full-time,10+ years,Bachelor's Degree,"User Research, Market Analysis, Analytics, Communication, Product Strategy",Exciting opportunity for a Product Manager in Khouribga.,2025-12-23,Generated
Junior Data Analyst,Marsa Maroc,Tangier,7600 MAD/month,Contract,0-2 years,Bachelor's Degree,"Python, Business Intelligence, Pandas, R, Power BI",Exciting opportunity for a Junior Data Analyst in Tangier.,2025-11-06,Generated
Project Manager,BMCE Bank,Khouribga,26100 MAD/month,Full-time,10+ years,Bachelor's Degree,"Scrum, Agile, Leadership, Budgeting, PMP, Communication",Seeking an experienced Project Manager for innovative projects.,2025-11-17,Generated
Data Engineer,Nokia Morocco,Casablanca,8700 MAD/month,Internship,2-4 years,Master's Degree,"Hadoop, ETL, Git, Data Modeling, SQL",We are looking for a talented Data Engineer to join our growing team.,2025-12-23,Generated
Data Scientist,Ericsson Morocco,Rabat,19400 MAD/month,Internship,3-5 years,Master's Degree,"R, SQL, TensorFlow, Python, Data Analysis",Great opportunity for career growth as a Data Scientist.,2025-12-15,Generated
Systems Analyst,Société Générale Morocco,Kenitra,15600 MAD/month,Full-time,2-4 years,Bachelor's Degree,"UML, Agile, Requirements Analysis, Documentation",Seeking an experienced Systems Analyst for innovative projects.,2025-11-13,Generated
Technical Manager,Huawei Morocco,Safi,12000 MAD/month,Part-time,10+ years,Bachelor's Degree,"Project Management, Mentoring, Agile, Technical Strategy, System Architecture, Budgeting",Seeking an experienced Technical Manager for innovative projects.,2025-11-12,Generated
Junior Software Engineer,CGI Morocco,Tetouan,9800 MAD/month,Full-time,0-2 years,Master's Degree,"Python, SQL, Git, REST API, C++",Seeking an experienced Junior Software Engineer for innovative projects.,2025-11-24,Generated
Systems Analyst,BNP Paribas Morocco,El Jadida,6800 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Systems Design, Business Process Analysis, Technical Writing, Documentation, UML, Requirements Analysis",Great opportunity for career growth as a Systems Analyst.,2025-12-01,Generated
Database Administrator,SAHAM Assurance,Casablanca,12400 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Monitoring, Replication, Performance Tuning, Backup & Recovery",Join our dynamic team as a Database Administrator.,2025-11-21,Generated
Lead IT Support Specialist,Alten Morocco,Agadir,19400 MAD/month,Contract,5-8 years,Master's Degree,"Active Directory, Technical Support, Documentation, Hardware",We are looking for a talented Lead IT Support Specialist to join our growing team.,2025-11-06,Generated
Systems Analyst,BNP Paribas Morocco,Safi,15300 MAD/month,Full-time,2-4 years,Master's Degree,"Business Process Analysis, Requirements Analysis, Documentation, Systems Design, UML, SQL",Great opportunity for career growth as a Systems Analyst.,2025-12-24,Generated
Junior Recruiter,CTM Morocco,Beni Mellal,5700 MAD/month,Full-time,1-3 years,Bachelor's Degree,"ATS, LinkedIn, HR Policies, Employer Branding",Great opportunity for career growth as a Junior Recruiter.,2025-11-17,Generated
Junior UX/UI Designer,Cosumar,Beni Mellal,2800 MAD/month,Part-time,0-2 years,Bachelor's Degree,"Design Thinking, Usability Testing, UI Design, User Research, Adobe XD, Responsive Design",Seeking an experienced Junior UX/UI Designer for innovative projects.,2025-11-24,Generated
DevOps Engineer,Faurecia Morocco,Tangier,24000 MAD/month,Part-time,2-5 years,Master's Degree,"Jenkins, Git, Python, AWS, Terraform, Linux",Great opportunity for career growth as a DevOps Engineer.,2025-11-17,Generated
Backend Developer,Orange Morocco,Kenitra,19200 MAD/month,Contract,2-4 years,Master's Degree,"Java, REST API, Python, Redis, PostgreSQL",Join our dynamic team as a Backend Developer.,2025-12-26,Generated
Data Scientist,Continental Morocco,Casablanca,45500 MAD/month,Full-time,3-5 years,PhD,"Data Analysis, Statistics, SQL, Python, TensorFlow",Join our dynamic team as a Data Scientist.,2025-12-27,Generated
Financial Analyst,Inwi,El Jadida,6800 MAD/month,Internship,2-4 years,Master's Degree,"SQL, Accounting, Budgeting, Financial Analysis, Financial Modeling, Excel",Exciting opportunity for a Financial Analyst in El Jadida.,2025-11-26,Generated
Industrial Engineer,Lydec,Kenitra,19300 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Project Management, Production Planning, Lean Manufacturing, Supply Chain, AutoCAD, Quality Control",Great opportunity for career growth as a Industrial Engineer.,2025-12-29,Generated
Systems Engineer,Marsa Maroc,Tangier,20100 MAD/month,Full-time,3-5 years,Bachelor's Degree,"VMware, Networking, Monitoring, Docker",Great opportunity for career growth as a Systems Engineer.,2025-11-20,Generated
Web Developer,IBM Morocco,Kenitra,6600 MAD/month,Part-time,2-4 years,Bachelor's Degree,"PHP, CSS, Git, Bootstrap, MySQL",We are looking for a talented Web Developer to join our growing team.,2025-11-08,Generated
HR Manager,Safran Morocco,Fes,33100 MAD/month,Part-time,10+ years,Master's Degree,"Conflict Resolution, Labor Law, HR Management, Training & Development, Communication, Recruitment",Join our dynamic team as a HR Manager.,2025-11-09,Generated
IT Technician,Vivo Energy,Mohammedia,9800 MAD/month,Full-time,2-4 years,Diploma,"Linux, Maintenance, Help Desk, Network Support, Active Directory",Exciting opportunity for a IT Technician in Mohammedia.,2025-11-22,Generated
Junior Database Administrator,Roland Berger,Safi,14100 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Database Design, Performance Tuning, MySQL, Oracle, Security",Exciting opportunity for a Junior Database Administrator in Safi.,2025-11-06,Generated
Maintenance Technician,Yazaki Morocco,Mohammedia,11900 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Troubleshooting, Preventive Maintenance, Equipment Repair, Mechanical Systems, Technical Documentation",Seeking an experienced Maintenance Technician for innovative projects.,2025-12-09,Generated
Mechanical Engineer,EY Morocco,Fes,16100 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Materials Science, Thermodynamics, SolidWorks, ANSYS, AutoCAD",Great opportunity for career growth as a Mechanical Engineer.,2025-11-04,Generated
Principal Network Engineer,RMA Watanya,Fes,65800 MAD/month,Full-time,10+ years,Master's Degree,"CCNA, Cisco, VPN, Network Security",Join our dynamic team as a Principal Network Engineer.,2025-11-06,Generated
Senior Business Development Manager,Eaton Aerospace,Meknes,42800 MAD/month,Full-time,5-8 years,Master's Degree,"Lead Generation, Networking, CRM, Communication, Contract Management, Market Analysis",We are looking for a talented Senior Business Development Manager to join our growing team.,2025-11-03,Generated
Cloud Engineer,Dell Technologies,Tangier,19800 MAD/month,Internship,3-5 years,Master's Degree,"Kubernetes, AWS, Linux, Docker, Cloud Security, Networking",Join our dynamic team as a Cloud Engineer.,2025-11-03,Generated
Quality Engineer,Huawei Morocco,Fes,17200 MAD/month,Full-time,2-4 years,Master's Degree,"Process Improvement, Testing, Quality Management, Auditing",Seeking an experienced Quality Engineer for innovative projects.,2025-12-21,Generated
Systems Engineer,GE Aviation Morocco,Tetouan,18200 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Linux, Windows Server, Troubleshooting, VMware",Exciting opportunity for a Systems Engineer in Tetouan.,2025-12-05,Generated
Graphic Designer,Shell Morocco,Casablanca,15700 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Adobe Photoshop, Creative Thinking, InDesign, Typography, Visual Communication, Graphic Design",We are looking for a talented Graphic Designer to join our growing team.,2025-12-27,Generated
Senior Product Designer,PwC Morocco,Tangier,41900 MAD/month,Contract,8+ years,Bachelor's Degree,"Design Systems, Product Design, User Research, Wireframing, Figma, Usability Testing",Join our dynamic team as a Senior Product Designer.,2025-12-24,Generated
Staff Product Designer,ZTE Morocco,Oujda,23500 MAD/month,Internship,10+ years,Master's Degree,"User Research, Product Design, Usability Testing, Interaction Design, Prototyping, Design Systems",Join our dynamic team as a Staff Product Designer.,2025-12-13,Generated
Senior Web Developer,Maroc Telecom,Oujda,17000 MAD/month,Full-time,5+ years,Bachelor's Degree,"PHP, jQuery, Git, JavaScript, HTML",Join our dynamic team as a Senior Web Developer.,2025-12-10,Generated
Compliance Officer,HP Morocco,El Jadida,15000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Reporting, Ethics, Regulatory Requirements, Compliance, Policy Development",We are looking for a talented Compliance Officer to join our growing team.,2025-12-18,Generated
Principal Mobile Developer,Intelcia,Safi,27300 MAD/month,Internship,5-8 years,Bachelor's Degree,"Mobile UI, React Native, Kotlin, iOS, Firebase",Exciting opportunity for a Principal Mobile Developer in Safi.,2025-11-05,Generated
Data Engineer,CIH Bank,Casablanca,16500 MAD/month,Full-time,3-5 years,Master's Degree,"Git, Data Modeling, AWS, Spark, Hadoop",Exciting opportunity for a Data Engineer in Casablanca.,2025-12-06,Generated
Junior Data Analyst,CASA Transport,Fes,7800 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Excel, SQL, Statistics, Python",Exciting opportunity for a Junior Data Analyst in Fes.,2025-11-28,Generated
Principal Help Desk Analyst,Umanis Morocco,Beni Mellal,20200 MAD/month,Full-time,8+ years,Bachelor's Degree,"Troubleshooting, Customer Service, Help Desk, Documentation, Ticketing Systems, Technical Support",Seeking an experienced Principal Help Desk Analyst for innovative projects.,2025-11-12,Generated
Junior Help Desk Analyst,BCG Morocco,Casablanca,2400 MAD/month,Internship,0-2 years,Bachelor's Degree,"Active Directory, Technical Support, Troubleshooting, Ticketing Systems, Windows, Remote Support",Exciting opportunity for a Junior Help Desk Analyst in Casablanca.,2025-11-01,Generated
Principal Data Scientist,Nokia Morocco,Beni Mellal,87400 MAD/month,Full-time,8+ years,Master's Degree,"Statistics, Pandas, Python, SQL",We are looking for a talented Principal Data Scientist to join our growing team.,2025-12-17,Generated
Principal Product Manager,Latecoere Morocco,Marrakech,68800 MAD/month,Full-time,5-8 years,Master's Degree,"Product Strategy, Roadmap Planning, Stakeholder Management, Communication, Prioritization",Great opportunity for career growth as a Principal Product Manager.,2025-11-09,Generated
Staff Chemical Engineer,CTM Morocco,Casablanca,26700 MAD/month,Full-time,10+ years,Bachelor's Degree,"Troubleshooting, Process Engineering, Plant Design, Process Simulation, Materials Science",Seeking an experienced Staff Chemical Engineer for innovative projects.,2025-11-20,Generated
Junior System Administrator,Yazaki Morocco,Safi,10100 MAD/month,Full-time,1-3 years,Bachelor's Degree,"PowerShell, Security, Bash, Windows Server, Monitoring",Join our dynamic team as a Junior System Administrator.,2025-11-15,Generated
Lead Electronics Technician,ABB Morocco,Mohammedia,19600 MAD/month,Full-time,5-8 years,Master's Degree,"Repair, Troubleshooting, Soldering, Technical Documentation, Embedded Systems, Testing",Join our dynamic team as a Lead Electronics Technician.,2025-12-24,Generated
Staff Financial Analyst,McKinsey Morocco,Tetouan,17900 MAD/month,Internship,10+ years,Bachelor's Degree,"Financial Modeling, SQL, Excel, Accounting, SAP",Seeking an experienced Staff Financial Analyst for innovative projects.,2025-12-09,Generated
Lead Industrial Engineer,DHL Morocco,Meknes,14200 MAD/month,Full-time,8+ years,Master's Degree,"AutoCAD, Six Sigma, Lean Manufacturing, Cost Analysis, Process Optimization",Join our dynamic team as a Lead Industrial Engineer.,2025-11-23,Generated
Principal System Administrator,ZTE Morocco,Tetouan,20600 MAD/month,Full-time,5-8 years,Master's Degree,"PowerShell, Windows Server, Networking, Bash, Backup, Monitoring",We are looking for a talented Principal System Administrator to join our growing team.,2025-11-27,Generated
Staff Product Designer,Maroc Telecom,Rabat,51400 MAD/month,Full-time,10+ years,Master's Degree,"Figma, UX Design, Interaction Design, Prototyping",Great opportunity for career growth as a Staff Product Designer.,2025-12-25,Generated
Backend Developer,Bain & Company Morocco,Tetouan,12800 MAD/month,Part-time,2-4 years,Master's Degree,"Java, REST API, PostgreSQL, Microservices, Docker, Node.js",Seeking an experienced Backend Developer for innovative projects.,2025-12-03,Generated
Frontend Developer,Afriquia,Oujda,7800 MAD/month,Internship,2-5 years,Bachelor's Degree,"TypeScript, CSS, JavaScript, HTML",We are looking for a talented Frontend Developer to join our growing team.,2025-12-06,Generated
Staff UX/UI Designer,Inwi,El Jadida,55500 MAD/month,Contract,8+ years,Master's Degree,"Wireframing, User Research, Prototyping, UI Design, Figma, Responsive Design",Great opportunity for career growth as a Staff UX/UI Designer.,2025-11-27,Generated
Cloud Engineer,ONDA,Kenitra,32200 MAD/month,Full-time,2-5 years,Master's Degree,"Networking, Kubernetes, Cloud Security, Python, Docker",Exciting opportunity for a Cloud Engineer in Kenitra.,2025-11-07,Generated
Training Specialist,Cosumar,Agadir,14000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Communication, Training & Development, Needs Assessment, Evaluation, Curriculum Development, Instructional Design",We are looking for a talented Training Specialist to join our growing team.,2025-11-13,Generated
Graphic Designer,Fujikura Morocco,Safi,12300 MAD/month,Full-time,2-4 years,Master's Degree,"InDesign, Layout Design, Visual Communication, Branding, Typography",We are looking for a talented Graphic Designer to join our growing team.,2025-11-06,Generated
Senior Systems Engineer,Afriquia,Rabat,15500 MAD/month,Part-time,5-8 years,Master's Degree,"Windows Server, Monitoring, Scripting, Troubleshooting, Docker, Automation",Join our dynamic team as a Senior Systems Engineer.,2025-11-27,Generated
Junior HR Manager,Teleperformance Morocco,Marrakech,19900 MAD/month,Contract,0-1 years,Master's Degree,"HR Management, Conflict Resolution, Communication, Compensation & Benefits",Great opportunity for career growth as a Junior HR Manager.,2025-11-21,Generated
